0,id,id_old,date,reviewer_id,reviewer_name,text,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,languages_detect
0,15883,167637319,07-07-2017,118138020,Kat,Eva has created a unique and beautiful Bed and Breakfast that we will always remember! The garden was amazing and the breakfast was top notch. Everything was very clean and we felt very well taken care of. The location was close to public transportation and a short walk to the river. We couldn't have chosen a better place to stay!,b&b near Old Danube river,62142,Eva,Donaustadt,48.24262,16.42767,Hotel room,120,1,14,07-10-2021,0.17,3,364,3,en
1,15883,212928690,19-11-2017,11338741,Karl,"Der Aufenthalt bei Eva war zu meiner vollsten Zufriedenheit. Die Kommunikation war super freundlich und Eva war Jederzeit erreichbar und sie hat promt auf Nachrichten geantwortet. Die Unterkunft befindet sich ein paar Straßen von der Hauptstraße entfernt, somit gibt es keinen Straßenlärm und freie Parkplätze vor der Tür. Das Zimmer war genau so wie beschrieben. Das Frühstück war vielfältig und mehr als ausreichend.<br/>Ich würde auf alle Fälle wieder kommen.",b&b near Old Danube river,62142,Eva,Donaustadt,48.24262,16.42767,Hotel room,120,1,14,07-10-2021,0.17,3,364,3,de
2,15883,224448424,03-01-2018,142176049,Tommaso,"Eva was a great host, very responsive and extremly kind. The place is really stylish with a very good oriental taste. The spaces are really clean and cosy. the neighbourough is quite and it is really easy to find a place to park your car. The metro station is just seven minutes far away.",b&b near Old Danube river,62142,Eva,Donaustadt,48.24262,16.42767,Hotel room,120,1,14,07-10-2021,0.17,3,364,3,en
3,15883,489785234,17-07-2019,14187109,Clare,Nice place to stay and relax and be taken care of. We stayed the night before flying out the next day. The space was comfortable and breakfast was good.,b&b near Old Danube river,62142,Eva,Donaustadt,48.24262,16.42767,Hotel room,120,1,14,07-10-2021,0.17,3,364,3,en
4,15883,607953168,19-02-2020,53056209,Jana,"Breakfast was the best part of the stay, place is clean and nice.",b&b near Old Danube river,62142,Eva,Donaustadt,48.24262,16.42767,Hotel room,120,1,14,07-10-2021,0.17,3,364,3,en
5,38768,207567,23-03-2011,281880,Avi,"Hannes' is nice.  Good location next to the metro.  No complaints, pretty basic.",central cityapartement- wifi- nice neighbourhood,166283,Hannes,Leopoldstadt,48.21924,16.37831,Entire home/apt,66,3,336,14-11-2021,2.57,3,124,13,en
6,38768,448451,15-08-2011,936547,Gabriel,"Hannes' apartment was great, really clean and very well located: close to a metro station but you can also walk to the city center as we did most of the time. The kitchen is small but well equipped and the bed is comfortable. Hannes was really helpful, as he gave us a few pointers about Vienna and was easily reachable. Highly recommended! ",central cityapartement- wifi- nice neighbourhood,166283,Hannes,Leopoldstadt,48.21924,16.37831,Entire home/apt,66,3,336,14-11-2021,2.57,3,124,13,en
7,38768,632158,16-10-2011,1190454,Grig,"The apartment is great: clean, nice and functional. The location is also very good: a U station is 200 meters away, and it is 5 minutes walk from the north border of the inner circle (15-20 minutes walk from the center of the center, the Stephansplaz square). Nice neighborhood. <br/>I definitely recommend it!<br/><br/>",central cityapartement- wifi- nice neighbourhood,166283,Hannes,Leopoldstadt,48.21924,16.37831,Entire home/apt,66,3,336,14-11-2021,2.57,3,124,13,en
8,38768,687389,02-11-2011,1269717,Francis,"Hannes was very accommodating and the apartment was very nice, clean, with everything we needed.   ",central cityapartement- wifi- nice neighbourhood,166283,Hannes,Leopoldstadt,48.21924,16.37831,Entire home/apt,66,3,336,14-11-2021,2.57,3,124,13,en
9,38768,782585,13-12-2011,1369133,Patricia,"Very nice stay in Viena. Hannes appartment is both cozy and comfy. Not far from the very center of the town (just about 15 minutes walking) and in a very enjoyable neighbourhood, with the Karmeliten market just round the corner and lots of restaurants and bars to have a beer or sth to eat (and close to the Prater park too).<br/>I felt at home, having a hot cup of tea and checking the Internet after an exhausting tourism day. Hannes is nice and made the transaction easy and pleasent.<br/>With this price I think this is a more than suitable option.<br/>I´d definitely repeat the visit.<br/>",central cityapartement- wifi- nice neighbourhood,166283,Hannes,Leopoldstadt,48.21924,16.37831,Entire home/apt,66,3,336,14-11-2021,2.57,3,124,13,en
